episode,seed,epsilon,episode_return,episode_steps,invalid_actions,finalized_generations,final_generation_gain,final_variance_retention,q_table_states,model_size,agent_kind
165,12509,0.3768,5.23320234625512,110,0,20,0.0,0.0,,100,linear_q
166,12510,0.373,7.513610465612947,117,0,20,0.0,0.0,,100,linear_q
167,12511,0.3692,9.97973970632707,110,0,20,0.0,8.373598975944916e-31,,100,linear_q
168,12512,0.36539999999999995,5.22214077325163,119,0,20,0.0,1.8840597695876063e-30,,100,linear_q
169,12513,0.36160000000000003,7.626762377843643,115,0,20,0.0,0.0,,100,linear_q
170,12514,0.3578,7.521209014280366,111,0,20,0.0,8.373598975944916e-31,,100,linear_q
171,12515,0.354,7.824068950423957,118,0,20,0.0,3.3494395903779665e-30,,100,linear_q
172,12516,0.35019999999999996,6.385475820167965,119,0,20,0.0,8.373598975944916e-31,,100,linear_q
173,12517,0.34640000000000004,7.296749686350644,94,0,20,0.0,8.373598975944916e-31,,100,linear_q
174,12518,0.3426000000000001,7.014274343536858,114,0,20,0.0,8.373598975944916e-31,,100,linear_q
175,12519,0.3388000000000001,9.735097349566141,104,0,20,0.0,8.373598975944916e-31,,100,linear_q
176,12520,0.3350000000000001,7.868731566265241,113,0,20,0.0,0.0,,100,linear_q
177,12521,0.33120000000000005,5.9652959142066795,118,0,20,0.0,3.3494395903779665e-30,,100,linear_q
178,12522,0.3274,8.321075334063678,106,0,20,0.0,8.373598975944916e-31,,100,linear_q
179,12523,0.3236000000000001,6.341241915884295,101,0,20,0.0,2.093399743986229e-31,,100,linear_q
180,12524,0.3198000000000001,10.27345891949054,89,0,20,0.0,3.3494395903779665e-30,,100,linear_q
181,12525,0.31600000000000006,8.294681212825221,100,0,20,0.0,0.0,,100,linear_q
182,12526,0.31220000000000003,5.7706661417951315,103,0,20,0.0,8.373598975944916e-31,,100,linear_q
183,12527,0.3084,6.179311079956493,104,0,20,0.0,2.093399743986229e-31,,100,linear_q
184,12528,0.3046000000000001,8.26825794172056,109,0,20,0.0,8.373598975944916e-31,,100,linear_q
185,12529,0.30080000000000007,7.524776784847226,111,0,20,0.0,2.093399743986229e-31,,100,linear_q
186,12530,0.29700000000000004,5.571392682019615,113,0,20,0.0,2.093399743986229e-31,,100,linear_q
187,12531,0.2932,7.456968664610811,101,0,20,0.0,8.373598975944916e-31,,100,linear_q
188,12532,0.2894,7.17331496935878,103,0,20,-0.020606070617110284,0.002158430250676387,,100,linear_q
189,12533,0.2856000000000001,6.744040361922147,123,0,20,0.0,5.233499359965573e-30,,100,linear_q
190,12534,0.28180000000000005,6.402154474616427,118,0,20,0.0,0.0,,100,linear_q
191,12535,0.278,5.45704959714397,120,0,20,0.0,8.373598975944916e-31,,100,linear_q
192,12536,0.2742,4.63689760492578,124,0,20,0.0,2.093399743986229e-31,,100,linear_q
193,12537,0.2704,6.887045011463392,124,0,20,0.0,8.373598975944916e-31,,100,linear_q
194,12538,0.26660000000000006,7.955705908356683,114,0,20,0.0,8.373598975944916e-31,,100,linear_q
195,12539,0.26280000000000003,7.706118656981347,110,0,20,0.0,0.0,,100,linear_q
196,12540,0.259,4.801963228211486,121,0,20,0.0,0.0,,100,linear_q
197,12541,0.2552,6.39550583087446,105,0,20,0.0,8.373598975944916e-31,,100,linear_q
198,12542,0.25139999999999996,7.402138676896812,100,0,20,0.0,3.3494395903779665e-30,,100,linear_q
199,12543,0.24760000000000004,7.961329270038248,87,0,20,0.0,3.3494395903779665e-30,,100,linear_q
200,12544,0.24380000000000002,5.522874995047935,117,0,20,0.0,8.373598975944916e-31,,100,linear_q
201,12545,0.24,7.3750314495339895,99,0,20,0.0,0.0,,100,linear_q
202,12546,0.23619999999999997,3.9630621375679396,120,0,20,0.0,2.093399743986229e-31,,100,linear_q
203,12547,0.23239999999999994,5.3111703349005674,121,0,20,0.0,8.373598975944916e-31,,100,linear_q
204,12548,0.22860000000000003,6.309500894530385,108,0,20,0.0,2.093399743986229e-31,,100,linear_q
205,12549,0.2248000000000001,7.239588494807668,112,0,20,0.0,0.0,,100,linear_q
206,12550,0.22100000000000009,7.237254755350351,108,0,20,0.0,0.0,,100,linear_q
207,12551,0.21720000000000006,8.599267578699452,106,0,20,0.0,8.373598975944916e-31,,100,linear_q
208,12552,0.21340000000000003,3.87199744699977,117,0,20,0.0,2.093399743986229e-31,,100,linear_q
209,12553,0.20960000000000012,9.32776953223319,122,0,20,0.0,3.3494395903779665e-30,,100,linear_q
210,12554,0.2058000000000001,4.946666979937081,112,0,20,0.0,1.8840597695876063e-30,,100,linear_q
211,12555,0.20200000000000007,6.456303254621716,113,0,20,0.0,8.373598975944916e-31,,100,linear_q
212,12556,0.19820000000000004,6.212066012058825,111,0,20,0.0,3.3494395903779665e-30,,100,linear_q
213,12557,0.19440000000000002,6.910416204978964,126,0,20,0.0,0.0,,100,linear_q
214,12558,0.1906000000000001,7.661871896984293,103,0,20,0.0,3.3494395903779665e-30,,100,linear_q
215,12559,0.18680000000000008,4.490799782757254,108,0,20,0.0,2.093399743986229e-31,,100,linear_q
216,12560,0.18300000000000005,3.1185371222645246,109,0,20,0.0,8.373598975944916e-31,,100,linear_q
217,12561,0.17920000000000003,4.784626938141592,100,0,20,0.0,2.093399743986229e-31,,100,linear_q
218,12562,0.1754,4.153472481428792,138,0,20,0.0,2.093399743986229e-31,,100,linear_q
219,12563,0.17160000000000009,6.479367215371112,128,0,20,0.0,1.8840597695876063e-30,,100,linear_q
220,12564,0.16780000000000006,4.515589577508797,126,0,20,0.0,2.093399743986229e-31,,100,linear_q
221,12565,0.16400000000000003,5.6269919250733285,123,0,20,0.0,2.093399743986229e-31,,100,linear_q
222,12566,0.1602,6.445250792939236,98,0,20,0.0,8.373598975944916e-31,,100,linear_q
223,12567,0.15639999999999998,5.375778891524614,106,0,20,0.0,0.0,,100,linear_q
224,12568,0.15260000000000007,6.571407402045409,118,0,20,0.0,3.3494395903779665e-30,,100,linear_q
225,12569,0.14880000000000004,8.498587524616305,87,0,20,0.0,3.3494395903779665e-30,,100,linear_q
226,12570,0.14500000000000002,5.421803142323376,107,0,20,0.0,2.093399743986229e-31,,100,linear_q
227,12571,0.1412,6.726170008464191,99,0,20,0.0,8.373598975944916e-31,,100,linear_q
228,12572,0.13739999999999997,5.623772139402242,115,0,20,0.0,0.0,,100,linear_q
229,12573,0.13360000000000005,8.240460245849718,96,0,20,0.0,3.3494395903779665e-30,,100,linear_q
230,12574,0.12980000000000003,7.545691732291661,97,0,20,0.0,8.373598975944916e-31,,100,linear_q
231,12575,0.126,6.22593547032494,114,0,20,0.0,8.373598975944916e-31,,100,linear_q
232,12576,0.12219999999999998,6.633454470215037,105,0,20,0.0,3.3494395903779665e-30,,100,linear_q
233,12577,0.11839999999999995,6.805631956740428,99,0,20,0.0,8.373598975944916e-31,,100,linear_q
234,12578,0.11460000000000004,6.626899125336032,109,0,20,0.0,2.093399743986229e-31,,100,linear_q
235,12579,0.11080000000000001,7.10788311347499,114,0,20,0.0,8.373598975944916e-31,,100,linear_q
236,12580,0.1070000000000001,3.9284894527503487,117,0,20,0.0,2.093399743986229e-31,,100,linear_q
237,12581,0.10320000000000007,7.2747113573501485,115,0,20,0.0,0.0,,100,linear_q
238,12582,0.09940000000000004,6.81376100949717,121,0,20,0.0,0.0,,100,linear_q
239,12583,0.09560000000000013,3.790575604154616,121,0,20,0.0,2.093399743986229e-31,,100,linear_q
240,12584,0.0918000000000001,5.850594243335985,110,0,20,0.0,8.373598975944916e-31,,100,linear_q
241,12585,0.08800000000000008,4.51900805756591,115,0,20,0.0,0.0,,100,linear_q
242,12586,0.08420000000000005,5.950389014624713,120,0,20,0.0,1.8840597695876063e-30,,100,linear_q
243,12587,0.08040000000000003,5.217465460014433,120,0,20,0.0,8.373598975944916e-31,,100,linear_q
244,12588,0.07660000000000011,4.188493646904055,123,0,20,0.0,8.373598975944916e-31,,100,linear_q
245,12589,0.07280000000000009,6.8957832878750684,116,0,20,0.0,0.0,,100,linear_q
246,12590,0.06900000000000006,6.2009715847065365,110,0,20,0.0,2.093399743986229e-31,,100,linear_q
247,12591,0.06520000000000004,6.843272972830893,107,0,20,0.0,2.093399743986229e-31,,100,linear_q
248,12592,0.06140000000000001,4.833534527957655,110,0,20,0.0,0.0,,100,linear_q
249,12593,0.057600000000000096,7.907220466889496,104,0,20,0.0,0.0,,100,linear_q
250,12594,0.05380000000000007,5.5172971337229555,101,0,20,0.0,3.3494395903779665e-30,,100,linear_q
251,12595,0.050000000000000044,6.076819788345634,111,0,20,0.0,1.8840597695876063e-30,,100,linear_q
252,12596,0.050000000000000044,4.388619378474485,120,0,20,0.0,8.373598975944916e-31,,100,linear_q
253,12597,0.050000000000000044,5.991685738017869,127,0,20,0.0,8.373598975944916e-31,,100,linear_q
254,12598,0.050000000000000044,6.043455114285328,119,0,20,0.0,2.093399743986229e-31,,100,linear_q
255,12599,0.050000000000000044,7.812545268748183,115,0,20,0.0,8.373598975944916e-31,,100,linear_q
