scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,oracle_chosen_strategy,initial_batch_size,model_score_batch_size,model_score,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,uncertainty_batch_size
h2_0.20_budget_200_parents_20,oracle_switching,3,7,1000,200,0.2,1,200,200,0.3554655372818869,20,4.367846505066558,0.009677331288459682,0.13108393569263954,-4.236762569373918,4.502026116491752,0.007774724953986697,0.13417961142519452,0.0429750100011006,0.12645083299139515,30003,0.2,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.23703174991346573,0.3554655372818869,
h2_0.20_budget_200_parents_20,oracle_switching,3,8,1000,200,0.2,1,200,200,0.3191124571025474,20,4.502026116491751,0.007774724953986698,4.570783176321631,0.06875705982987945,4.570783176321631,0.0,0.06875705982987945,,,30003,0.2,200,20,8,fixed_sampling,,,,,,,
h2_0.40_budget_200_parents_20,oracle_switching,1,1,1000,200,0.2,1,200,200,0.5193805050481294,20,-0.13314627914244165,0.9430240904123077,1.4840225467174908,1.6171688258599324,1.3905831921888754,0.709363832334793,1.523729471331317,0.2948125929979142,0.38703352501033805,31001,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.36986618871153815,0.5193805050481294,
h2_0.40_budget_200_parents_20,oracle_switching,1,2,1000,200,0.2,1,200,200,0.5949536563526951,20,1.3905831921888754,0.7093638323347932,2.5742913047495968,1.1837081125607214,2.6084922840613185,0.5616968698624304,1.2179090918724431,,,31001,0.4,200,20,8,fixed_sampling,,,,,,,
h2_0.40_budget_200_parents_20,oracle_switching,1,3,1000,200,0.2,1,200,200,0.5490643938181621,20,2.608492284061319,0.5616968698624304,1.0407562813922313,-1.5677360026690876,3.65166566302213,0.3870839228765372,1.043173378960811,0.18556583099416457,0.266933239006903,31001,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.21671441606669378,0.5490643938181621,
h2_0.40_budget_200_parents_20,oracle_switching,1,4,1000,200,0.2,1,200,200,0.4796020758230153,20,3.65166566302213,0.3870839228765372,4.453673283328464,0.802007620306334,4.429129295780761,0.37357513644155693,0.7774636327586313,,,31001,0.4,200,20,8,diversity_sampling,,,,,,,
h2_0.40_budget_200_parents_20,oracle_switching,1,5,1000,200,0.2,1,200,200,0.7181005948668959,20,4.429129295780761,0.37357513644155693,5.200378402296992,0.7712491065162306,5.189466074648979,0.13170389332132232,0.7603367788682176,,,31001,0.4,200,20,8,fixed_sampling,,,,,,,
h2_0.40_budget_200_parents_20,oracle_switching,1,6,1000,200,0.2,1,200,200,0.5994639589491471,20,5.189466074648979,0.13170389332132232,5.871530500141661,0.6820644254926824,5.8866263472567475,0.057396775301135,0.6971602726077686,,,31001,0.4,200,20,8,diversity_sampling,,,,,,,
h2_0.40_budget_200_parents_20,oracle_switching,1,7,1000,200,0.2,1,200,200,0.4226063212704311,20,5.886626347256748,0.057396775301135,0.3094075898152208,-5.5772187574415275,6.190363219092531,0.034223285488659355,0.3037368718357829,0.08007937698857859,0.17133865499636158,31001,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.13377264522600504,0.4226063212704311,
h2_0.40_budget_200_parents_20,oracle_switching,1,8,1000,200,0.2,1,200,200,0.3111093817060057,20,6.190363219092531,0.034223285488659355,0.14683296262633766,-6.043530256466194,6.33640729166543,0.01123893580216187,0.14604407257289864,0.23888119700131938,0.33435142700909637,31001,0.4,200,20,8,active_learning_pev,50.0,,,True,-0.0036356210159959688,0.3111093817060057,150.0
