scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_population_size,scenario_diversity_loss,scenario_number_of_parents,scenario_number_of_crosses,scenario_dh_per_f1,scenario_number_of_generations,switching_chosen_strategy,switching_policy,chosen_strategy_score,best_fixed_continuation,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,4,7,500,75,0.15,1,75,75,0.531785814264784,20,3.376791746993648,0.03163976802326193,0.20154989305990328,-3.175241853933745,3.5731336292356963,0.013384429532883721,0.19634188224204818,0.0489948800241109,0.10510528401937336,30004,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.19791367866828669,active_learning_pev,50.0,,False,0.47035098714381995,0.531785814264784,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,4,8,500,75,0.15,1,75,75,0.4689981878231296,20,3.5731336292356968,0.01338442953288372,3.6510145992596406,0.07788097002394379,3.6488997775902186,0.0026368617538258714,0.07576614835452178,,,30004,0.05,75,500,standard,20,50,10,8,fixed_sampling,averaged_one_step_switching_5_draws,0.07509204357818788,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,5,1,500,75,0.15,1,75,75,0.3013760149776044,20,-0.16874556459073284,0.9186011247010438,0.9404523059854117,1.1091978705761445,0.8957792558176438,0.7989486796016225,1.0645248204083766,0.2644566710223444,0.31970623502274975,30005,0.05,75,500,standard,20,50,10,8,active_learning_pev,averaged_one_step_switching_5_draws,1.0793078379431011,active_learning_pev,50.0,25.0,True,0.17921138196089917,0.3013760149776044,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,5,2,500,75,0.15,1,75,75,0.04607709775674233,20,0.8957792558176438,0.7989486796016225,0.8701739036822547,-0.02560535213538917,1.7860160056745185,0.4888825527437251,0.8902367498568746,0.1307737629977055,0.18488600398995914,30005,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.9094120464835539,active_learning_pev,50.0,,False,0.0036382828280412944,0.04607709775674233,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,5,3,500,75,0.15,1,75,75,0.396303634915222,20,1.7860160056745185,0.4888825527437251,2.590743000562487,0.8047269948879687,2.5731784417264993,0.30867157499654424,0.7871624360519809,,,30005,0.05,75,500,standard,20,50,10,8,diversity_sampling,averaged_one_step_switching_5_draws,0.7839782829073778,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,5,4,500,75,0.15,1,75,75,0.19887802445050087,20,2.5731784417264993,0.30867157499654424,2.897252416018429,0.32407397429192963,2.9325482818576294,0.2555515954594109,0.35936984013113005,,,30005,0.05,75,500,standard,20,50,10,8,diversity_sampling,averaged_one_step_switching_5_draws,0.35265850910274776,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,5,5,500,75,0.15,1,75,75,0.528820708901831,20,2.9325482818576294,0.255551595459411,0.7614047280693896,-2.17114355378824,3.7425268626151005,0.15408074246841774,0.8099785807574711,0.15093829698162153,0.20280143100535497,30005,0.05,75,500,standard,20,50,10,8,active_learning_pev,averaged_one_step_switching_5_draws,0.8003168848854166,active_learning_pev,50.0,25.0,True,0.16945911830442284,0.528820708901831,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,5,6,500,75,0.15,1,75,75,0.36304129646585287,20,3.7425268626151005,0.15408074246841777,3.9916464287923836,0.24911956617728315,4.006818910098802,0.08343778194029688,0.26429204748370116,,,30005,0.05,75,500,standard,20,50,10,8,diversity_sampling,averaged_one_step_switching_5_draws,0.26113487020237114,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,5,7,500,75,0.15,1,75,75,0.39551504924306247,20,4.006818910098802,0.08343778194029688,4.379467781064374,0.3726488709655724,4.366970229487982,0.02602647047517395,0.3601513193891801,,,30005,0.05,75,500,standard,20,50,10,8,random_sampling,averaged_one_step_switching_5_draws,0.19108694289633626,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,5,8,500,75,0.15,1,75,75,0.30889353249215795,20,4.366970229487981,0.026026470475173945,0.057234573263299685,-4.309735656224682,4.429603855437612,0.009832431646103786,0.06263362594963073,0.1272933630098123,0.1873531759774778,30005,0.05,75,500,standard,20,50,10,8,active_learning_pev,averaged_one_step_switching_5_draws,0.06660402101892124,active_learning_pev,50.0,25.0,True,0.308365755989417,0.30889353249215795,,
