scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,oracle_trial_strategy,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.70_budget_200_parents_20,active_learning_pev,1,3,1000,200,0.2,1,200,200,0.6193275865996871,20,3.3111725320153558,0.4564455267730993,0.7566697446570837,-2.554502787358272,4.066810011805532,0.3049798754668056,0.7556374797901761,0.43204323001555167,0.5266886060126126,32001,0.7,200,20,8,active_learning_pev,50.0,150.0,True,0.3329225045379637,0.6193275865996871,,
h2_0.70_budget_200_parents_20,highest_gebv,1,3,1000,200,0.2,1,200,200,0.5823157127861691,20,3.3111725320153558,0.4564455267730993,0.8510710466746453,-2.4601014853407106,4.189490599415923,0.2722401789357618,0.8783180674005675,0.18912475000252016,0.27194902900373563,32001,0.7,200,20,8,highest_gebv,50.0,,False,0.3329225045379637,0.5823157127861691,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,random_sampling,1,4,1000,200,0.2,1,200,200,0.4716739692402036,20,4.238935418487366,0.262269154446585,4.798314737541381,0.5593793190540151,4.811060637467113,0.17889038388317247,0.572125218979747,,,32001,0.7,200,20,8,random_sampling,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,1,4,1000,200,0.2,1,200,200,0.46484694590192627,20,4.238935418487366,0.262269154446585,4.911326092009736,0.6723906735223695,4.894592136363069,0.30864955678018713,0.6556567178757025,,,32001,0.7,200,20,8,fixed_sampling,,,,,,,
h2_0.70_budget_200_parents_20,diversity_sampling,1,4,1000,200,0.2,1,200,200,0.44803059763531594,20,4.238935418487366,0.262269154446585,4.763681271972408,0.524745853485042,4.758569770748308,0.20198715440183593,0.5196343522609421,,,32001,0.7,200,20,8,diversity_sampling,,,,,,,
h2_0.70_budget_200_parents_20,active_learning_pev,1,4,1000,200,0.2,1,200,200,0.541948837609764,20,4.238935418487366,0.262269154446585,0.7073245957085128,-3.5316108227788536,4.934958333845674,0.18336523634317226,0.6960229153583075,0.3943740050017368,0.48336158401798457,32001,0.7,200,20,8,active_learning_pev,50.0,150.0,True,0.44945865950251596,0.541948837609764,,
h2_0.70_budget_200_parents_20,highest_gebv,1,4,1000,200,0.2,1,200,200,0.5968381219818456,20,4.238935418487366,0.262269154446585,0.9169486959554973,-3.321986722531869,5.182718724543702,0.15693542234670196,0.9437833060563356,0.16436005200375803,0.24218053501681425,32001,0.7,200,20,8,highest_gebv,50.0,,False,0.44945865950251596,0.5968381219818456,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,random_sampling,1,5,1000,200,0.2,1,200,200,0.6218394860763188,20,5.176820838211308,0.17270959291392352,5.666675645693669,0.4898548074823612,5.679130092142375,0.08926040797166193,0.5023092539310676,,,32001,0.7,200,20,8,random_sampling,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,1,5,1000,200,0.2,1,200,200,0.6320973800549416,20,5.176820838211308,0.17270959291392352,5.754590176338639,0.5777693381273314,5.744827005389278,0.06214569212226512,0.5680061671779706,,,32001,0.7,200,20,8,fixed_sampling,,,,,,,
h2_0.70_budget_200_parents_20,diversity_sampling,1,5,1000,200,0.2,1,200,200,0.6133529586984022,20,5.176820838211308,0.17270959291392352,5.656822450453831,0.480001612242523,5.6622386354685235,0.07945485756452263,0.4854177972572158,,,32001,0.7,200,20,8,diversity_sampling,,,,,,,
