scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.70_budget_200_parents_20,random_sampling,2,2,1000,200,0.2,1,200,200,0.4826513573939883,20,1.3758949823760211,0.5276460716618314,2.3323050310611455,0.9564100486851244,2.3568589015481387,0.4048173971697153,0.9809639191721176,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,random_sampling,2,3,1000,200,0.2,1,200,200,0.6577038531540939,20,2.3568589015481387,0.4048173971697153,3.4332951026413485,1.0764362010932098,3.430001694643289,0.2845835112446565,1.0731427930951503,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,random_sampling,2,4,1000,200,0.2,1,200,200,0.6503293028038594,20,3.430001694643289,0.2845835112446565,4.092954884102648,0.6629531894593588,4.07172802975871,0.12825240756676987,0.6417263351154214,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,random_sampling,2,5,1000,200,0.2,1,200,200,0.5537276556033637,20,4.07172802975871,0.12825240756676987,4.586548586278202,0.5148205565194912,4.583534083440433,0.05633976041172847,0.5118060536817222,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,random_sampling,2,6,1000,200,0.2,1,200,200,0.43932308818641436,20,4.583534083440433,0.05633976041172847,4.923993023825838,0.34045894038540503,4.9267705991504,0.02854558961108928,0.34323651570996727,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,random_sampling,2,7,1000,200,0.2,1,200,200,0.44721322461551155,20,4.9267705991504,0.02854558961108928,5.074917307464244,0.14814670831384458,5.074026646034079,0.008999390141138212,0.14725604688367877,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,random_sampling,2,8,1000,200,0.2,1,200,200,-0.06089456545808901,20,5.074026646034079,0.008999390141138212,5.010972978295372,-0.06305366773870702,5.011749003631132,0.004515966299593017,-0.06227764240294675,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,2,1,1000,200,0.2,1,200,200,0.6142194936245339,20,-0.13314627914244168,0.9430240904123077,1.552349019846159,1.6854952989886005,1.5190525568239512,0.5421935016450914,1.6521988359663928,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,2,2,1000,200,0.2,1,200,200,0.2094682993948929,20,1.5190525568239512,0.5421935016450914,1.985572656163686,0.4665200993397347,1.97300701976824,0.49878223925402676,0.45395446294428865,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,2,3,1000,200,0.2,1,200,200,0.7346035827863044,20,1.97300701976824,0.49878223925402676,3.018633575808231,1.0456265560399913,2.9919682017480986,0.3548559055693889,1.0189611819798587,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,2,4,1000,200,0.2,1,200,200,0.7160286211874096,20,2.9919682017480986,0.3548559055693889,3.8355044728850833,0.8435362711369847,3.815170009577986,0.15221294148672077,0.8232018078298875,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,2,5,1000,200,0.2,1,200,200,0.48706675442364705,20,3.815170009577986,0.15221294148672077,4.298865979147728,0.48369596956974226,4.2921851654136,0.15180603839784718,0.47701515583561394,,,32002,0.7,200,20,8,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,2,6,1000,200,0.2,1,200,200,0.5819290886055536,20,4.2921851654136,0.15180603839784718,4.850413868639422,0.5582287032258222,4.862546084470572,0.062437050028838155,0.5703609190569718,,,32002,0.7,200,20,8,,,,,,,
