strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,cumulative_phenotyping_cost,run_seed,cycle_seed,initial_batch_size,uncertainty_batch_size,initial_model_accuracy,final_model_accuracy
diversity_sampling,2,2,1000,200,0.2,1,200,200,0.7192220682957282,20,1.2051135913872697,0.950722771444934,2.343768717352634,1.1386551259653643,2.372623534191987,0.37945270071228926,1.1675099428047173,0.6926282130007166,0.10281042000133311,400,1002,1003,,,,
diversity_sampling,2,3,1000,200,0.2,1,200,200,0.664020447699525,20,2.372623534191987,0.37945270071228926,3.788542702976858,1.4159191687848711,3.783568197644284,0.32776931830108763,1.4109446634522969,0.5141940789981163,0.06301353000162635,600,1002,1004,,,,
diversity_sampling,2,4,1000,200,0.2,1,200,200,0.4605196857198441,20,3.783568197644284,0.32776931830108763,4.406970673314339,0.6234024756700549,4.449820892441357,0.2014035022086457,0.6662526947970733,0.3306036710018816,0.06517341500148177,800,1002,1005,,,,
diversity_sampling,2,5,1000,200,0.2,1,200,200,0.5431688394854759,20,4.449820892441357,0.2014035022086457,4.854571737324122,0.4047508448827646,4.845276220455912,0.09494589454828484,0.3954553280145552,0.270877909999399,0.06499909199919784,1000,1002,1006,,,,
fixed_sampling,2,1,1000,200,0.2,1,200,200,0.47772413264050884,20,-0.13314627914244168,0.9430240904123077,1.3875685802852522,1.5207148594276938,1.3334435916476006,0.6978214302848125,1.4665898707900422,0.00016659699758747593,0.13885621300141793,200,1002,1002,,,,
fixed_sampling,2,2,1000,200,0.2,1,200,200,0.5024804099915724,20,1.3334435916476006,0.6978214302848125,2.2737410687446196,0.9402974770970189,2.2834327636649308,0.6197221947303422,0.9499891720173301,0.0001541399979032576,0.0795235080004204,400,1002,1003,,,,
fixed_sampling,2,3,1000,200,0.2,1,200,200,0.6736112771470497,20,2.2834327636649308,0.6197221947303422,3.6544494800699368,1.371016716405006,3.673503118052263,0.4115684781352268,1.390070354387332,0.00015234099919325672,0.05213411099975929,600,1002,1004,,,,
fixed_sampling,2,4,1000,200,0.2,1,200,200,0.5722829677836649,20,3.673503118052263,0.4115684781352268,4.516216837160984,0.8427137191087213,4.492745824366088,0.2641224059654679,0.8192427063138248,0.0001614559987501707,0.05525012699945364,800,1002,1005,,,,
fixed_sampling,2,5,1000,200,0.2,1,200,200,0.46203037276669806,20,4.492745824366088,0.2641224059654679,5.140153637519837,0.6474078131537491,5.157286278241924,0.06949007505883635,0.6645404538758362,0.0001481870021962095,0.05631483199977083,1000,1002,1006,,,,
random_sampling,2,1,1000,200,0.2,1,200,200,0.5119250508076642,20,-0.13314627914244168,0.9430240904123077,1.262927443784429,1.3960737229268705,1.2031327762889776,0.7095141365460196,1.3362790554314192,0.0001748369977576658,0.12453757199909887,200,1002,1002,,,,
